"x" "color" "y"
"1" "1" "Actual Neg" "1"
"2" "1" "Actual Neg" "10"
"3" "1" "Actual Neg" "11"
"4" "1" "Actual Neg" "12"
"5" "1" "Actual Neg" "13"
"6" "1" "Actual Neg" "14"
"7" "1" "Actual Neg" "15"
"8" "1" "Actual Neg" "16"
"9" "1" "Actual Neg" "17"
"10" "1" "Actual Neg" "18"
"11" "1" "Actual Neg" "19"
"12" "1" "Actual Neg" "2"
"13" "1" "False Neg" "20"
"14" "1" "Actual Neg" "3"
"15" "1" "Actual Neg" "4"
"16" "1" "Actual Neg" "5"
"17" "1" "Actual Neg" "6"
"18" "1" "Actual Neg" "7"
"19" "1" "Actual Neg" "8"
"20" "1" "Actual Neg" "9"
"21" "10" "Actual Neg" "1"
"22" "10" "Actual Neg" "10"
"23" "10" "Actual Neg" "11"
"24" "10" "Actual Neg" "12"
"25" "10" "Actual Neg" "13"
"26" "10" "Actual Neg" "14"
"27" "10" "Actual Neg" "15"
"28" "10" "Actual Neg" "16"
"29" "10" "Actual Neg" "17"
"30" "10" "Actual Neg" "18"
"31" "10" "Actual Neg" "2"
"32" "10" "Actual Neg" "3"
"33" "10" "Actual Neg" "4"
"34" "10" "Actual Neg" "5"
"35" "10" "Actual Neg" "6"
"36" "10" "Actual Neg" "7"
"37" "10" "Actual Neg" "8"
"38" "10" "Actual Neg" "9"
"39" "11" "Actual Neg" "1"
"40" "11" "Actual Neg" "10"
"41" "11" "Actual Neg" "11"
"42" "11" "Actual Neg" "12"
"43" "11" "Actual Neg" "13"
"44" "11" "Actual Neg" "14"
"45" "11" "Actual Neg" "15"
"46" "11" "Actual Neg" "16"
"47" "11" "Actual Neg" "17"
"48" "11" "Actual Neg" "18"
"49" "11" "Actual Neg" "2"
"50" "11" "Actual Neg" "3"
"51" "11" "Actual Neg" "4"
"52" "11" "Actual Neg" "5"
"53" "11" "Actual Neg" "6"
"54" "11" "Actual Neg" "7"
"55" "11" "Actual Neg" "8"
"56" "11" "Actual Neg" "9"
"57" "12" "Actual Neg" "1"
"58" "12" "Actual Neg" "10"
"59" "12" "Actual Neg" "11"
"60" "12" "Actual Neg" "12"
"61" "12" "Actual Neg" "13"
"62" "12" "Actual Neg" "14"
"63" "12" "Actual Neg" "15"
"64" "12" "Actual Neg" "16"
"65" "12" "Actual Neg" "17"
"66" "12" "Actual Neg" "18"
"67" "12" "Actual Neg" "2"
"68" "12" "Actual Neg" "3"
"69" "12" "Actual Neg" "4"
"70" "12" "Actual Neg" "5"
"71" "12" "Actual Neg" "6"
"72" "12" "Actual Neg" "7"
"73" "12" "Actual Neg" "8"
"74" "12" "Actual Neg" "9"
"75" "13" "Actual Neg" "1"
"76" "13" "Actual Neg" "10"
"77" "13" "Actual Neg" "11"
"78" "13" "Actual Neg" "12"
"79" "13" "Actual Neg" "13"
"80" "13" "Actual Neg" "14"
"81" "13" "Actual Neg" "15"
"82" "13" "Actual Neg" "16"
"83" "13" "Actual Neg" "17"
"84" "13" "Actual Neg" "18"
"85" "13" "Actual Neg" "2"
"86" "13" "Actual Neg" "3"
"87" "13" "Actual Neg" "4"
"88" "13" "Actual Neg" "5"
"89" "13" "Actual Neg" "6"
"90" "13" "Actual Neg" "7"
"91" "13" "Actual Neg" "8"
"92" "13" "Actual Neg" "9"
"93" "14" "Actual Neg" "1"
"94" "14" "Actual Neg" "10"
